OG	tree	reconciliation_map	flipped_nodes
206	((noD_5_1_4_0|G0_0[node_id=0;species=H0],noD_5_1_4_0|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_1_4_0|G4_4[node_id=2;species=H4],(noD_5_1_4_0|G2_2[node_id=3;species=H2],noD_5_1_4_0|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:9,2:6,3:8,4:4,5:2,6:7,7:5,8:1	
207	((noD_5_1_0_4|G0_0[node_id=4;species=H0],noD_5_1_0_4|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_1_0_4|G4_4[node_id=3;species=H4],(noD_5_1_0_4|G2_2[node_id=2;species=H2],noD_5_1_0_4|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:4,2:8,3:6,4:3,5:2,6:7,7:5,8:1	
208	((noD_5_0_4_1|G0_0[node_id=3;species=H0],noD_5_0_4_1|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_0_4_1|G4_4[node_id=2;species=H4],(noD_5_0_4_1|G2_2[node_id=0;species=H2],noD_5_0_4_1|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:9,2:6,3:3,4:4,5:2,6:7,7:5,8:1	
209	((noD_5_0_1_4|G0_0[node_id=0;species=H0],noD_5_0_1_4|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_0_1_4|G4_4[node_id=3;species=H4],(noD_5_0_1_4|G2_2[node_id=2;species=H2],noD_5_0_1_4|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:9,2:8,3:6,4:4,5:2,6:7,7:5,8:1	
210	((noD_5_6_1_0|G0_0[node_id=4;species=H0],noD_5_6_1_0|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_6_1_0|G4_4[node_id=3;species=H4],(noD_5_6_1_0|G2_2[node_id=2;species=H2],noD_5_6_1_0|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:4,2:8,3:6,4:3,5:2,6:7,7:5,8:1	
211	((noD_5_6_0_1|G0_0[node_id=1;species=H0],noD_5_6_0_1|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_6_0_1|G4_4[node_id=4;species=H4],(noD_5_6_0_1|G2_2[node_id=0;species=H2],noD_5_6_0_1|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:3,2:9,3:4,4:6,5:2,6:7,7:5,8:1	
212	((noD_5_1_6_0|G0_0[node_id=4;species=H0],noD_5_1_6_0|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_1_6_0|G4_4[node_id=1;species=H4],(noD_5_1_6_0|G2_2[node_id=0;species=H2],noD_5_1_6_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:6,2:9,3:4,4:3,5:2,6:7,7:5,8:1	
213	((noD_5_0_6_1|G0_0[node_id=3;species=H0],noD_5_0_6_1|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_0_6_1|G4_4[node_id=0;species=H4],(noD_5_0_6_1|G2_2[node_id=1;species=H2],noD_5_0_6_1|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:8,2:9,3:3,4:4,5:2,6:7,7:5,8:1	
214	((noD_5_9_1_0|G0_0[node_id=2;species=H0],noD_5_9_1_0|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_9_1_0|G4_4[node_id=4;species=H4],(noD_5_9_1_0|G2_2[node_id=1;species=H2],noD_5_9_1_0|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:8,2:3,3:4,4:6,5:2,6:7,7:5,8:1	
215	((noD_5_9_0_1|G0_0[node_id=1;species=H0],noD_5_9_0_1|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_9_0_1|G4_4[node_id=4;species=H4],(noD_5_9_0_1|G2_2[node_id=3;species=H2],noD_5_9_0_1|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:3,2:9,3:8,4:6,5:2,6:7,7:5,8:1	
216	((noD_5_2_2_0|G0_0[node_id=0;species=H0],noD_5_2_2_0|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_2_2_0|G4_4[node_id=4;species=H4],(noD_5_2_2_0|G2_2[node_id=2;species=H2],noD_5_2_2_0|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:4,2:8,3:9,4:6,5:2,6:7,7:5,8:1	
217	((noD_5_2_0_2|G0_0[node_id=1;species=H0],noD_5_2_0_2|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_2_0_2|G4_4[node_id=0;species=H4],(noD_5_2_0_2|G2_2[node_id=3;species=H2],noD_5_2_0_2|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:3,2:9,3:8,4:4,5:2,6:7,7:5,8:1	
218	((noD_5_0_2_2|G0_0[node_id=1;species=H0],noD_5_0_2_2|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_0_2_2|G4_4[node_id=3;species=H4],(noD_5_0_2_2|G2_2[node_id=2;species=H2],noD_5_0_2_2|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:3,2:8,3:6,4:9,5:2,6:7,7:5,8:1	
219	((noD_5_2_3_0|G0_0[node_id=3;species=H0],noD_5_2_3_0|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_2_3_0|G4_4[node_id=4;species=H4],(noD_5_2_3_0|G2_2[node_id=2;species=H2],noD_5_2_3_0|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:4,2:8,3:3,4:6,5:2,6:7,7:5,8:1	
220	((noD_5_2_0_3|G0_0[node_id=0;species=H0],noD_5_2_0_3|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_2_0_3|G4_4[node_id=3;species=H4],(noD_5_2_0_3|G2_2[node_id=1;species=H2],noD_5_2_0_3|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:8,2:4,3:6,4:9,5:2,6:7,7:5,8:1	
221	((noD_5_0_3_2|G0_0[node_id=4;species=H0],noD_5_0_3_2|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_0_3_2|G4_4[node_id=3;species=H4],(noD_5_0_3_2|G2_2[node_id=0;species=H2],noD_5_0_3_2|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:9,2:4,3:6,4:3,5:2,6:7,7:5,8:1	
222	((noD_5_0_2_3|G0_0[node_id=3;species=H0],noD_5_0_2_3|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_0_2_3|G4_4[node_id=1;species=H4],(noD_5_0_2_3|G2_2[node_id=4;species=H2],noD_5_0_2_3|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:6,2:4,3:3,4:8,5:2,6:7,7:5,8:1	
223	((noD_5_4_0_2|G0_0[node_id=3;species=H0],noD_5_4_0_2|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_4_0_2|G4_4[node_id=2;species=H4],(noD_5_4_0_2|G2_2[node_id=4;species=H2],noD_5_4_0_2|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:4,2:6,3:3,4:8,5:2,6:7,7:5,8:1	
224	((noD_5_2_0_4|G0_0[node_id=1;species=H0],noD_5_2_0_4|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_2_0_4|G4_4[node_id=3;species=H4],(noD_5_2_0_4|G2_2[node_id=2;species=H2],noD_5_2_0_4|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:3,2:8,3:6,4:9,5:2,6:7,7:5,8:1	
225	((noD_5_0_4_2|G0_0[node_id=1;species=H0],noD_5_0_4_2|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_0_4_2|G4_4[node_id=4;species=H4],(noD_5_0_4_2|G2_2[node_id=2;species=H2],noD_5_0_4_2|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:3,2:8,3:9,4:6,5:2,6:7,7:5,8:1	
226	((noD_5_0_2_4|G0_0[node_id=4;species=H0],noD_5_0_2_4|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_0_2_4|G4_4[node_id=2;species=H4],(noD_5_0_2_4|G2_2[node_id=0;species=H2],noD_5_0_2_4|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:4,2:6,3:9,4:3,5:2,6:7,7:5,8:1	
227	((noD_5_5_2_0|G0_0[node_id=3;species=H0],noD_5_5_2_0|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_5_2_0|G4_4[node_id=0;species=H4],(noD_5_5_2_0|G2_2[node_id=4;species=H2],noD_5_5_2_0|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:9,2:4,3:3,4:8,5:2,6:7,7:5,8:1	
228	((noD_5_5_0_2|G0_0[node_id=2;species=H0],noD_5_5_0_2|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_5_0_2|G4_4[node_id=1;species=H4],(noD_5_5_0_2|G2_2[node_id=4;species=H2],noD_5_5_0_2|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:6,2:3,3:4,4:8,5:2,6:7,7:5,8:1	
229	((noD_5_2_7_0|G0_0[node_id=2;species=H0],noD_5_2_7_0|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_2_7_0|G4_4[node_id=0;species=H4],(noD_5_2_7_0|G2_2[node_id=4;species=H2],noD_5_2_7_0|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:9,2:3,3:4,4:8,5:2,6:7,7:5,8:1	
230	((noD_5_0_7_2|G0_0[node_id=0;species=H0],noD_5_0_7_2|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_0_7_2|G4_4[node_id=4;species=H4],(noD_5_0_7_2|G2_2[node_id=1;species=H2],noD_5_0_7_2|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:8,2:4,3:9,4:6,5:2,6:7,7:5,8:1	
231	((noD_5_8_2_0|G0_0[node_id=1;species=H0],noD_5_8_2_0|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_8_2_0|G4_4[node_id=0;species=H4],(noD_5_8_2_0|G2_2[node_id=3;species=H2],noD_5_8_2_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:3,2:9,3:8,4:4,5:2,6:7,7:5,8:1	
232	((noD_5_8_0_2|G0_0[node_id=2;species=H0],noD_5_8_0_2|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_8_0_2|G4_4[node_id=1;species=H4],(noD_5_8_0_2|G2_2[node_id=0;species=H2],noD_5_8_0_2|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:6,2:3,3:9,4:4,5:2,6:7,7:5,8:1	
233	((noD_5_9_0_2|G0_0[node_id=0;species=H0],noD_5_9_0_2|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_9_0_2|G4_4[node_id=3;species=H4],(noD_5_9_0_2|G2_2[node_id=1;species=H2],noD_5_9_0_2|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:8,2:4,3:6,4:9,5:2,6:7,7:5,8:1	
234	((noD_5_0_9_2|G0_0[node_id=0;species=H0],noD_5_0_9_2|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_0_9_2|G4_4[node_id=3;species=H4],(noD_5_0_9_2|G2_2[node_id=1;species=H2],noD_5_0_9_2|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:8,2:9,3:6,4:4,5:2,6:7,7:5,8:1	
235	((noD_5_3_3_0|G0_0[node_id=3;species=H0],noD_5_3_3_0|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_3_3_0|G4_4[node_id=1;species=H4],(noD_5_3_3_0|G2_2[node_id=4;species=H2],noD_5_3_3_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:6,2:9,3:3,4:8,5:2,6:7,7:5,8:1	
236	((noD_5_4_3_0|G0_0[node_id=1;species=H0],noD_5_4_3_0|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_4_3_0|G4_4[node_id=4;species=H4],(noD_5_4_3_0|G2_2[node_id=3;species=H2],noD_5_4_3_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:3,2:9,3:8,4:6,5:2,6:7,7:5,8:1	
237	((noD_5_4_0_3|G0_0[node_id=1;species=H0],noD_5_4_0_3|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_4_0_3|G4_4[node_id=3;species=H4],(noD_5_4_0_3|G2_2[node_id=0;species=H2],noD_5_4_0_3|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:3,2:9,3:6,4:4,5:2,6:7,7:5,8:1	
238	((noD_5_3_4_0|G0_0[node_id=3;species=H0],noD_5_3_4_0|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_3_4_0|G4_4[node_id=2;species=H4],(noD_5_3_4_0|G2_2[node_id=1;species=H2],noD_5_3_4_0|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:8,2:6,3:3,4:4,5:2,6:7,7:5,8:1	
239	((noD_5_3_0_4|G0_0[node_id=4;species=H0],noD_5_3_0_4|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_3_0_4|G4_4[node_id=0;species=H4],(noD_5_3_0_4|G2_2[node_id=1;species=H2],noD_5_3_0_4|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:8,2:9,3:4,4:3,5:2,6:7,7:5,8:1	
240	((noD_5_0_4_3|G0_0[node_id=4;species=H0],noD_5_0_4_3|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_0_4_3|G4_4[node_id=2;species=H4],(noD_5_0_4_3|G2_2[node_id=1;species=H2],noD_5_0_4_3|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:8,2:6,3:9,4:3,5:2,6:7,7:5,8:1	
241	((noD_5_0_3_4|G0_0[node_id=0;species=H0],noD_5_0_3_4|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_0_3_4|G4_4[node_id=1;species=H4],(noD_5_0_3_4|G2_2[node_id=3;species=H2],noD_5_0_3_4|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:6,2:4,3:8,4:9,5:2,6:7,7:5,8:1	
242	((noD_5_5_3_0|G0_0[node_id=4;species=H0],noD_5_5_3_0|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_5_3_0|G4_4[node_id=2;species=H4],(noD_5_5_3_0|G2_2[node_id=3;species=H2],noD_5_5_3_0|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:4,2:6,3:8,4:3,5:2,6:7,7:5,8:1	
243	((noD_5_5_0_3|G0_0[node_id=1;species=H0],noD_5_5_0_3|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_5_0_3|G4_4[node_id=0;species=H4],(noD_5_5_0_3|G2_2[node_id=2;species=H2],noD_5_5_0_3|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:3,2:8,3:4,4:9,5:2,6:7,7:5,8:1	
244	((noD_5_3_5_0|G0_0[node_id=0;species=H0],noD_5_3_5_0|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_3_5_0|G4_4[node_id=1;species=H4],(noD_5_3_5_0|G2_2[node_id=2;species=H2],noD_5_3_5_0|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:6,2:8,3:4,4:9,5:2,6:7,7:5,8:1	
245	((noD_5_0_6_3|G0_0[node_id=3;species=H0],noD_5_0_6_3|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_0_6_3|G4_4[node_id=4;species=H4],(noD_5_0_6_3|G2_2[node_id=2;species=H2],noD_5_0_6_3|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:4,2:8,3:3,4:6,5:2,6:7,7:5,8:1	
246	((noD_5_7_3_0|G0_0[node_id=2;species=H0],noD_5_7_3_0|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_7_3_0|G4_4[node_id=4;species=H4],(noD_5_7_3_0|G2_2[node_id=3;species=H2],noD_5_7_3_0|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:9,2:3,3:8,4:6,5:2,6:7,7:5,8:1	
247	((noD_5_0_7_3|G0_0[node_id=4;species=H0],noD_5_0_7_3|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_0_7_3|G4_4[node_id=0;species=H4],(noD_5_0_7_3|G2_2[node_id=2;species=H2],noD_5_0_7_3|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:9,2:8,3:4,4:3,5:2,6:7,7:5,8:1	
248	((noD_5_8_3_0|G0_0[node_id=4;species=H0],noD_5_8_3_0|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_8_3_0|G4_4[node_id=2;species=H4],(noD_5_8_3_0|G2_2[node_id=3;species=H2],noD_5_8_3_0|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:9,2:6,3:8,4:3,5:2,6:7,7:5,8:1	
249	((noD_5_8_0_3|G0_0[node_id=3;species=H0],noD_5_8_0_3|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_8_0_3|G4_4[node_id=2;species=H4],(noD_5_8_0_3|G2_2[node_id=0;species=H2],noD_5_8_0_3|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:4,2:6,3:3,4:9,5:2,6:7,7:5,8:1	
250	((noD_5_3_9_0|G0_0[node_id=0;species=H0],noD_5_3_9_0|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_3_9_0|G4_4[node_id=1;species=H4],(noD_5_3_9_0|G2_2[node_id=3;species=H2],noD_5_3_9_0|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:6,2:4,3:8,4:9,5:2,6:7,7:5,8:1	
251	((noD_5_7_9_0|G0_0[node_id=0;species=H0],X[node_id=11])S[node_id=10],((noD_5_7_9_0|G5_4[node_id=1;species=H4],(noD_5_7_9_0|G3_2[node_id=2;species=H2],noD_5_7_9_0|G2_1[node_id=3;species=H1])S[node_id=4])S[node_id=5],(noD_5_7_9_0|G1_4[node_id=6;species=H4],X[node_id=9])S[node_id=8])D[node_id=7])S[node_id=12];	0:3,1:6,2:8,3:9,4:7,5:5,6:6,7:5,8:5,9:7,10:2,11:4,12:1	
252	((noD_5_4_4_0|G0_0[node_id=1;species=H0],noD_5_4_4_0|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_4_4_0|G4_4[node_id=2;species=H4],(noD_5_4_4_0|G2_2[node_id=0;species=H2],noD_5_4_4_0|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:3,2:6,3:4,4:9,5:2,6:7,7:5,8:1	
253	((noD_5_4_0_4|G0_0[node_id=4;species=H0],noD_5_4_0_4|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_4_0_4|G4_4[node_id=1;species=H4],(noD_5_4_0_4|G2_2[node_id=2;species=H2],noD_5_4_0_4|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:6,2:8,3:4,4:3,5:2,6:7,7:5,8:1	
254	((noD_5_5_0_4|G0_0[node_id=0;species=H0],noD_5_5_0_4|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_5_0_4|G4_4[node_id=3;species=H4],(noD_5_5_0_4|G2_2[node_id=2;species=H2],noD_5_5_0_4|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:9,2:8,3:6,4:4,5:2,6:7,7:5,8:1	
255	((noD_5_0_5_4|G0_0[node_id=4;species=H0],noD_5_0_5_4|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_0_5_4|G4_4[node_id=2;species=H4],(noD_5_0_5_4|G2_2[node_id=0;species=H2],noD_5_0_5_4|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:4,2:6,3:9,4:3,5:2,6:7,7:5,8:1	
256	((noD_5_4_7_0|G0_0[node_id=1;species=H0],noD_5_4_7_0|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_4_7_0|G4_4[node_id=2;species=H4],(noD_5_4_7_0|G2_2[node_id=0;species=H2],noD_5_4_7_0|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:3,2:6,3:9,4:4,5:2,6:7,7:5,8:1	
257	((noD_5_0_7_4|G0_0[node_id=2;species=H0],noD_5_0_7_4|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_0_7_4|G4_4[node_id=0;species=H4],(noD_5_0_7_4|G2_2[node_id=3;species=H2],noD_5_0_7_4|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:4,2:3,3:8,4:9,5:2,6:7,7:5,8:1	
258	((noD_5_7_5_0|G0_0[node_id=3;species=H0],noD_5_7_5_0|G7_7[node_id=4;species=H7])S[node_id=5],(noD_5_7_5_0|G4_4[node_id=0;species=H4],(noD_5_7_5_0|G2_2[node_id=2;species=H2],noD_5_7_5_0|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:9,2:8,3:3,4:4,5:2,6:7,7:5,8:1	
259	((noD_5_8_5_0|G0_0[node_id=3;species=H0],noD_5_8_5_0|G7_7[node_id=2;species=H7])S[node_id=5],(noD_5_8_5_0|G4_4[node_id=1;species=H4],(noD_5_8_5_0|G2_2[node_id=4;species=H2],noD_5_8_5_0|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:6,2:4,3:3,4:8,5:2,6:7,7:5,8:1	
260	((noD_5_6_6_0|G0_0[node_id=0;species=H0],noD_5_6_6_0|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_6_6_0|G4_4[node_id=3;species=H4],(noD_5_6_6_0|G2_2[node_id=4;species=H2],noD_5_6_6_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:4,2:9,3:6,4:8,5:2,6:7,7:5,8:1	
261	((noD_5_7_6_0|G0_0[node_id=4;species=H0],noD_5_7_6_0|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_7_6_0|G4_4[node_id=3;species=H4],(noD_5_7_6_0|G2_2[node_id=2;species=H2],noD_5_7_6_0|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:4,2:8,3:6,4:3,5:2,6:7,7:5,8:1	
262	((noD_5_6_8_0|G0_0[node_id=1;species=H0],noD_5_6_8_0|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_6_8_0|G4_4[node_id=4;species=H4],(noD_5_6_8_0|G2_2[node_id=2;species=H2],noD_5_6_8_0|G1_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:3,2:8,3:4,4:6,5:2,6:7,7:5,8:1	
263	((noD_5_7_7_0|G0_0[node_id=1;species=H0],noD_5_7_7_0|G7_7[node_id=3;species=H7])S[node_id=5],(noD_5_7_7_0|G4_4[node_id=2;species=H4],(noD_5_7_7_0|G2_2[node_id=0;species=H2],noD_5_7_7_0|G1_1[node_id=4;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:3,2:6,3:4,4:9,5:2,6:7,7:5,8:1	
264	((noD_5_9_7_0|G0_0[node_id=4;species=H0],noD_5_9_7_0|G7_7[node_id=1;species=H7])S[node_id=5],(noD_5_9_7_0|G4_4[node_id=3;species=H4],(noD_5_9_7_0|G2_2[node_id=0;species=H2],noD_5_9_7_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:4,2:9,3:6,4:3,5:2,6:7,7:5,8:1	
265	(((noD_5_10_7_2|G5_7[node_id=3;species=H7],noD_5_10_7_2|G6_7[node_id=4;species=H7])D[node_id=5],X[node_id=7])S[node_id=6],(noD_5_10_7_2|G3_4[node_id=1;species=H4],(noD_5_10_7_2|G1_2[node_id=0;species=H2],noD_5_10_7_2|G0_1[node_id=2;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:8,1:6,2:9,3:4,4:4,5:4,6:2,7:3,8:7,9:5,10:1	
266	((noD_5_8_10_3|G7_7[node_id=0;species=H7],X[node_id=7])S[node_id=6],((noD_5_8_10_3|G4_4[node_id=1;species=H4],noD_5_8_10_3|G3_4[node_id=2;species=H4])D[node_id=3],(noD_5_8_10_3|G1_2[node_id=5;species=H2],noD_5_8_10_3|G0_1[node_id=4;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:4,1:6,2:6,3:6,4:9,5:8,6:2,7:3,8:7,9:5,10:1	
267	(((noD_5_9_7_2|G0_0[node_id=1;species=H0],noD_5_9_7_2|G1_0[node_id=2;species=H0])D[node_id=3],X[node_id=7])S[node_id=6],(noD_5_9_7_2|G6_4[node_id=0;species=H4],(noD_5_9_7_2|G4_2[node_id=4;species=H2],noD_5_9_7_2|G3_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:6,1:3,2:3,3:3,4:8,5:9,6:2,7:4,8:7,9:5,10:1	
268	(((noD_5_8_9_2|G0_0[node_id=0;species=H0],noD_5_8_9_2|G1_0[node_id=1;species=H0])D[node_id=2],X[node_id=7])S[node_id=6],(noD_5_8_9_2|G6_4[node_id=3;species=H4],(noD_5_8_9_2|G4_2[node_id=5;species=H2],noD_5_8_9_2|G3_1[node_id=4;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:3,1:3,2:3,3:6,4:9,5:8,6:2,7:4,8:7,9:5,10:1	
269	(((noD_5_5_6_4|G1_0[node_id=1;species=H0],noD_5_5_6_4|G0_0[node_id=2;species=H0])D[node_id=3],X[node_id=7])S[node_id=6],(noD_5_5_6_4|G6_4[node_id=5;species=H4],(noD_5_5_6_4|G4_2[node_id=4;species=H2],noD_5_5_6_4|G3_1[node_id=0;species=H1])S[node_id=8])S[node_id=9])S[node_id=10];	0:9,1:3,2:3,3:3,4:8,5:6,6:2,7:4,8:7,9:5,10:1	
270	((noD_5_1_1_1|G0_0[node_id=4;species=H0],noD_5_1_1_1|G7_7[node_id=0;species=H7])S[node_id=5],(noD_5_1_1_1|G4_4[node_id=3;species=H4],(noD_5_1_1_1|G2_2[node_id=1;species=H2],noD_5_1_1_1|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:8,2:9,3:6,4:3,5:2,6:7,7:5,8:1	
